"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm"
"shawxan9120152016","Andrew.Shaw","CR","CHI",84,20152016,24,"2.500","2.000",18,22,40,0.87,1.07,1.94,-2,56.44,103.09,10.84,4.44,14.72
"shawxlo9220152016","Logan.Shaw","R","FLA",56,20152016,22,"0.693","0.674",5,2,7,0.43,0.17,0.6,8,48.18,98.17,6.17,6.29,12.53
"sheahri9120152016","Riley.Sheahan","C","DET",86,20152016,23,"1.050","0.950",14,12,26,0.64,0.55,1.19,-2,47.45,98.91,9.93,-6.63,15.21
"shearco9220152016","Conor.Sheary","F","PIT",55,20152016,23,"0.667","0.667",9,6,15,0.92,0.61,1.53,5,57.74,98.06,13.04,14.46,10.7
"shinkhu9420152016","Hunter.Shinkaruk","L","VAN/CGY",8,20152016,20,"0.925","0.902",2,1,3,1,0.5,1.5,1,54.31,97.97,16.67,-4.59,14.97
"shorede9420152016","Devin.Shore","C","DAL",3,20152016,21,"0.818","0.870",0,0,0,0,0,0,0,33.87,122.73,0,-0.89,12.19
"shoredr9120152016","Drew.Shore","CR","CGY",2,20152016,24,"0.851","0.851",0,1,1,0,2.14,2.14,-1,40,93.33,0,-0.6,14.01
"shoreni9220152016","Nicholas.Shore","C","L.A",69,20152016,22,"0.600","0.600",3,7,10,0.21,0.48,0.69,-8,57.27,94.23,3.33,-2.83,12.6
"sielopa9420152016","Patrick.Sieloff","D","CGY",1,20152016,21,"0.925","0.894",1,0,1,3.01,0,3.01,-1,36.36,120,100,-12.14,19.95
"silfvja9020152016","Jakob.Silfverberg","RL","ANA",89,20152016,24,"3.750","3.750",20,24,44,0.79,0.95,1.74,0,48.69,99.93,8.7,-19.5,17.07
"sillxza8820152016","Zach.Sill","LC","WSH",10,20152016,27,"0.575","0.575",1,0,1,0.6,0,0.6,1,47.4,97.08,7.69,-10.96,10.06
"simmowa8820152016","Wayne.Simmonds","RL","PHI",87,20152016,27,"3.800","3.975",32,30,62,1.26,1.18,2.45,-1,60.57,99.82,13.01,17.56,17.46
"simondo9420152016","Dominik.Simon","C","PIT",3,20152016,21,"0.667","0.693",0,1,1,0,3.35,3.35,0,59.38,92.86,0,37.2,5.98
"sislomi8820152016","Mike.Sislo","R","N.J",18,20152016,27,"0.575","0.562",3,1,4,0.81,0.27,1.08,-1,45.32,99.46,10.34,15.6,12.39
"sissoco9320152016","Colton.Sissons","CR","NSH",44,20152016,21,"0.600","0.635",4,2,6,0.54,0.27,0.81,-2,46.92,99.05,12.9,-26.11,10.16
"skillja8720152016","Jack.Skille","RL","COL",74,20152016,28,"NA","NA",8,6,14,0.72,0.54,1.27,6,41.67,99.74,7.55,-7.25,8.95
"skinnje9220152016","Jeff.Skinner","L","CAR",82,20152016,23,"6.000","5.725",28,23,51,1.26,1.04,2.3,16,56.85,99.3,10.85,16.86,16.26
"skjeibr9420152016","Brady.Skjei","D","NYR",12,20152016,21,"0.925","0.925",0,2,2,0,0.55,0.55,-3,43.19,102.24,0,-8.6,18.07
"slavija9420152016","Jaccob.Slavin","D","CAR",63,20152016,21,"0.693","0.743",2,18,20,0.09,0.81,0.9,7,49.63,99.18,2.38,-8.58,21.14
"slepyan9420152016","Anton.Slepyshev","L","EDM",11,20152016,21,"0.925","0.925",0,1,1,0,0.65,0.65,1,47.89,90.9,0,5.25,8.43
"smidxla8620152016","Ladislav.Smid","D","CGY",22,20152016,29,"3.750","3.500",0,0,0,0,0,0,0,44.61,92.73,0,-5.26,11.83
"smithbe8820152016","Ben.Smith","C","TOR/S.J",22,20152016,27,"1.500","1.500",2,4,6,0.45,0.9,1.34,0,42.23,101.71,11.76,-27.51,12.17
"smithbr8920152016","Brendan.Smith","D","DET",66,20152016,26,"2.250","2.750",3,13,16,0.16,0.68,0.84,-8,55.03,98.26,3.41,6.66,17.42
"smithcr8920152016","Craig.Smith","R","NSH",93,20152016,26,"3.750","4.250",22,17,39,0.93,0.72,1.65,-3,60.38,99.66,9.65,37.83,15.25
"smithde9220152016","Devante.Smith-Pelly","C","N.J/MTL",64,20152016,23,"0.800","0.800",14,11,25,1.08,0.85,1.93,3,49.11,99.88,14.89,-4.04,12.15
"smithre9120152016","Reilly.Smith","RL","FLA",88,20152016,24,"3.350","3.425",29,29,58,1.04,1.04,2.09,13,52.87,102.88,14.8,-2.28,18.93
"smithza8820152016","Zack.Smith","CL","OTT",81,20152016,27,"2.000","1.887",25,11,36,1.2,0.53,1.73,4,51.31,102.12,20.33,-4.77,15.45
"soderca8520152016","Carl.Soderberg","C","COL",82,20152016,29,"5.000","4.750",12,39,51,0.49,1.6,2.1,8,46.23,100.02,7.36,-9.59,17.79
"soshnni9320152016","Nikita.Soshnikov","F","TOR",11,20152016,21,"0.667","0.737",2,3,5,0.69,1.04,1.73,1,56.98,94.17,6.06,8.51,15.79
"spalini8820152016","Nick.Spaling","LC","TOR/S.J",70,20152016,26,"2.200","2.200",3,11,14,0.19,0.68,0.86,-8,40.16,99.41,4.92,-21.92,13.89
"spezzja8320152016","Jason.Spezza","C","DAL",88,20152016,32,"7.500","7.500",38,38,76,1.55,1.55,3.1,2,61.46,101.8,16.1,23.43,16.73
"spoonry9220152016","Ryan.Spooner","CL","BOS",80,20152016,23,"0.800","0.950",13,36,49,0.64,1.77,2.41,-2,56.92,100.32,8.02,24.07,15.28
"spronda9720152016","Daniel.Sprong","R","PIT",18,20152016,18,"0.667","0.693",2,0,2,0.78,0,0.78,1,46.76,99.05,8.7,6.15,8.53
"spurgja8920152016","Jared.Spurgeon","D","MIN",83,20152016,25,"3.600","2.667",13,21,34,0.41,0.66,1.07,2,49.5,100.88,9.85,2.73,23.02
"staaler8420152016","Eric.Staal","CL","NYR/CAR",88,20152016,30,"9.500","8.250",13,26,39,0.48,0.97,1.45,5,59.43,97.53,6.31,16.9,18.33
"staaljo8820152016","Jordan.Staal","C","CAR",82,20152016,27,"6.000","6.000",20,27,47,0.8,1.08,1.88,5,54.8,100.92,13.25,-12.63,18.3
"staalma8720152016","Marc.Staal","D","NYR",82,20152016,28,"7.000","5.700",2,15,17,0.07,0.56,0.64,-10,40.95,99.27,2.86,-21,19.53
"staffdr8520152016","Drew.Stafford","RC","WPG",78,20152016,29,"4.350","4.350",21,17,38,0.94,0.76,1.7,-5,52.93,95.12,11.23,11.95,17.24
"stajama8320152016","Matt.Stajan","C","CGY",80,20152016,31,"3.875","3.250",6,11,17,0.35,0.65,1,-2,39.74,97.9,10.34,-24.16,12.77
"stalbvi8620152016","Viktor.Stalberg","RL","NYR",80,20152016,29,"1.100","1.100",9,11,20,0.55,0.67,1.22,4,43.77,100.43,6.62,-7.56,12.29
"stamkst9020152016","Steven.Stamkos","CR","T.B",77,20152016,25,"5.500","7.500",36,28,64,1.41,1.1,2.51,2,55.7,102.7,16.82,16.09,19.83
"stantry8920152016","Ryan.Stanton","D","WSH",1,20152016,26,"0.575","0.575",0,0,0,0,0,0,-1,42.11,95,NA,15.38,8.96
